,titles,ratings,reviews,dates,replies,reply_dates
24,Cela fait une semaine que je tente de…,1,Cela fait une semaine que je tente de rentrer en contact avec le SAV de leur site en ligne pour pouvoir effectuer le retour d'une commande dans le cadre de mon droit de rétractation de 14 jours..,2023-02-10T18:56:29.000Z,,
25,Je suis furieux,1,"Je vous annonce, ne fait jamais en ligne des achats sur eleclerc ,car les retours sont à votre charge ! 
Je suis vraiment pas satisfait, c'est la première fois que je vois ça, en général presque tout les achats en ligne, les retours sont à la charge des vendeurs.",2023-02-03T11:10:50.000Z,,
26,Mettre des produits en tête de rayon…,1,Mettre des produits en tête de rayon trois acheter un rembourser et mettre qu'un prix en mélangeant plusieurs parfums sans mettre de prix pour ceux qui ne font pas partie de la formule il suffit de prendre un parfum différent de la formule pour ne pas être remboursé pour moi c'est du vol bien organisé félicitations Leclerc pour vôtre honnêteté,2023-01-28T18:48:08.000Z,,
27,Commande passée d'un ordinateur,1,"Commande passée d'un ordinateur le 23/01 avec un livraison prévue pour le 25/01  .... à ce jour (4/02/2023) je n'ai toujours pas reçu ma commande. Après un contact par mail le 29/01 une réponse m'a été donnée comme quoi ils allaient faire une recherche pour savoir où se trouve mon ordinateur bon ok, donc je patiente quelques jours et le 3/01 j'ai appelé le service client qui n'a pas su me dire une fois de plus où se trouve mon colis.
Par contre pas de soucis mon compte à bien été débité du montant total de mon achat  !!!!!  Donc j'attends toujours mon ordinateur en espérant qu'il arrive un jour.
Première commande sur leur site et le dernier ça c'est sur.",2023-02-04T14:34:54.000Z,,
28,Evitez E.Leclerc!,1,"Durant les soldes, j'ai vu une offre d'un robot pâtissier proposé avec une réduction de 100€, j'ai acheté deux, un pour moi, et un pour un collègue, livraison prévue sous 24h. 

48h après, aucune communication de la part de Leclerc, je me rends sur site et là je trouve qu'ils ont annulé ma commande! sous prétexte rupture de stock, alors que ma commande était bien validée! 

Aucune communication de la part de Leclerc, même pas d'excuses!",2023-01-24T11:35:42.000Z,,
29,Leclerc annonce la fin de ses…,1,"Leclerc annonce la fin de ses prospectus papier , mais.bizarrement je continu à les recevoir ! 
De la poudre aux yeux ! 👎👎👎",2023-02-17T17:20:59.000Z,,
30,Mauvaise experience,1,"Bonjour,
Nous avons passé commande pour un trampoline qui devait être livré le 17 janvier, nous sommes le 26 et toujours pas de nouvelles !
J'ai contacté plusieurs fois le sav par mail et téléphone mais personne ne sait où en ait le colis !
Il ne peuvent même pas appelé le transporteur.",2023-01-26T14:15:54.000Z,,
31,L'enseigne E. LECLERC,1,"L'enseigne E. LECLERC est à fuir si vous achetez en ligne. Achat d'une TV jamais livrée (certainement tombée du camion) et LECLERC après plus de 2 mois ne rembourse pas tant que l'enquête transporteur n'est pas terminée.
Aucune info si vous n'appelez pas, beaucoup de personnes incompétentes qui vous baladent. Malgré un recommandé AR aucune réponse. On se moque du client.
Bref LECLERC n'est pas du tout à la hauteur, achetez chez AMAZON c'est beaucoup plus sérieux en cas de litige.",2023-01-21T17:54:29.000Z,,
32,Lamentable,1,"Bonjour, je suis tombé également dans le piège, commande passée devant théoriquement être livrée en 24h???????, débitée et plus aucune nouvelle. Impossibilité de les joindre, une semaine passée chronopost est toujours en attente du colis, la commande reste figée en attente. J'ai commandé en toute confiance sans regarder les avis.....grossière erreur de ma part. J'ai bien peur de galèrer comme la plupart des clients qui postent ici.",2023-01-15T00:44:52.000Z,,
33,Site arnaque vous débite mais vous ne…,1,"Site arnaque vous débite mais vous ne recevez pas la commande. Aucune facture reçue alors que nous avons été débité. Il nous demande la preuve. Nous envoyons la capture d'écran du compte bancaire, une lettre de la banque... nous appelons toutes les semaines. Opératrice toujours différentes. 2 mois après toujours rien. Relance ce jour et on nous dit oui mais sur notre serveur vous n'avez pas été facturé, vous n'avez pas eu de facture mais on nous a débité alors qu'on a ni facture ni reçu le PC. Plus jamais Leclerc.",2023-01-16T11:10:37.000Z,,
