,titles,ratings,reviews,dates,replies,reply_dates
914,Le délire ce magasin Leclerc Echirolles…,1,"Le délire ce magasin Leclerc Echirolles - J'ai acheté une cafetière KRUPS début novembre et après une trentaine de café, panne ... la capsule reste bloquée même en débranchant l'appareil . J'arrive au SAV en pensant que ma cafetière serait remplacée car elle n'avait que 1 mois et demi, mais non, ils vont la renvoyer à réparer et refusent de me rembourser ou me remplacer et en prime ils me proposent une cafetière en prêt moyennant un chèque de caution  alors que pour moi la caution c'est mon appareil que je leur laisse. La plupart des magasins remplacent l'article lorsque la date d'achat est inférieure à 2 mois, mais visiblement Leclerc n'est pas de ce style là. Donc, fuyez ce genre de commerce pour tout achat autre que du saucisson et autres denrées mais surtout pas de l'électroménager. Quelle honte pour un SAV de traiter les clients comme des pigeons,",2021-01-01T12:03:44.000Z,,
915,commande traiteur leclerc osny,3,"bonjour
j'ai reccement effectuer ma premiere commande de menus traiteur sur le site leclerc drive et qui plus est le leclerc de osny.
une vraie plaie pour trouver le stand en question et de plus les vendeurs a l'interieur du magasins ne savent pas vous diriger, bref une bonne demi heure de sport avant de trouver le tout petit stand tres precaire qui na pour ma part rien d'un traiteur car personne labas ne sait vous indiquez les temps de rechauffage de vos plats et na aucun conseil a vous donnez. 
une experience des plus deplaisante qui ne se reproduira pas de si tot.
quand a la marchandise elle parait tout de meme fraiche et bien préparée et d'un tres bon rapport qualité prix.
cordialement",2020-12-31T16:05:39.000Z,,
916,"Honteux,incompétent,menteur,",1,"Bonsoir,

J'ai effectué une commande sur le site espace culturel de leclerc pour un livre en pré-commande pour être sur de le recevoir.
Finalement on m'a expliqué que le produit pré-commandé n'était plus disponible !!!
Bien la peine de prendre les devants !!
Sur ce je demande le remboursement de cette commande le 02/12/2020. Après de nombreux appels je vois que je n'ai toujours rien reçu.au bout du cinquième interlocuteur, on m'informe qu'il me fallait fournir un rib pour un paiement que j'avais effectué par cb.
il leur a fallu trois semaines pour s'apercevoir qu'il me fallait un rib.J'ai rarement vu une incompétence pareille.
Je reçois un mail le 22/12/2020 que je dois recevoir mon remboursement.le 30/12/2020 je n'ai toujours rien reçu on est à la limite de la fraude.
Plus jamais je ne ferai une commande, ces gens sont ecoeurants de bêtise et de malhonnêteté !!!
Franchement  à éviter ce site ou leur service de communication est soit incompétent soit menteur .
Nous sommes le 15 janvier 2021 et ma demande initiale date du 2/12/2020.
J'attends une réponse contradictoire de leur part mais je n'ai aucun espoir car ils n'ont pas d'arguments à opposer.",2021-01-15T06:28:41.000Z,,
917,Des branquignoles jusqu'au bout!!,1,"Des branquignoles jusqu'au bout!!! C'est vraiment dommage de ne pas pouvoir mettre 0, car c'est tout ce que vous mériteriez. J'ai passé commande le 5 décembre pour un coffret DVD Harry Potter, pour le Noel de mon fils, de 9 ans. Le 14 décembre, pas de mouvement depuis le jour de la commande. Je décide donc d'appeler, car Noel approche ( à savoir que partout sur leur site, tout est soi disant disponible et livrable avant Noel pour toute commande jusqu'au 22 décembre)!!! Le 14, on me répond donc qu'il y'a eu beaucoup de commandes pour ce produit et que le réapprovisionnement va avoir lieu d'ici 2 à 3 jours. Je dis ok, pas de souci. Le 19 décembre, je reçois un mail comme quoi la commande est en préparation et va être remise à un transporteur. Je me dis nickel, ça va arriver juste à temps. Le 23 décembre, je réalise que le coffret n'est pas arrivé et contacte leur service dès le 24 au matin (pour un retrait en magasin). Là on me dit que ma commande n'a jamais été préparée, que le coffret est en rupture et que je ne serai livré que dans quelques semaines, mais que si je le souhaite, je peux annuler ma commande. Mon fils n'a donc pas eu le cadeau qu'il avait demandé pour Noel, tout ça à cause d'une bande d'incompétents, mais le mal étant fait, je maintiens ma commande. Si le 14, voire le 19 on m'avait dit que je n'aurai pas ce coffret, j'aurai peut être pu me retourner et le trouver ailleurs. Mais là, j'avais confiance en ce grand groupe et avait préféré le prendre chez Leclerc que je croyais sérieux, alors qu'il était en vente chez d'autres ou alors chez les autres, ils étaient bien indiqué en rupture. De plus, j'avais fais le choix du retrait en magasin, pour ne pas qu'il arrive en retard à cause de la poste. J'ai demandé à être recontacté en ayant envoyé un mail au service relation client, je n'ai jamais eu de réponse. Sûrement bien trop cachés derrière leurs ordinateurs, à lire tous les commentaires négatifs dus à leur incompétence et que j'aurai du vérifier avant de commander sur un site que je pensais vraiment sérieux. Bien entendu, lors de mon appel du 24, on vous caresse dans le sens du poil en vous disant ce que vous souhaitez entendre, c'est à dire qu'ils sont désolé, que ce n'est pas normal et que je dois écrire à la relation client, mais qu'on me comprend et que c'est triste pour mon fils. En fait, il n'en on rien à faire que votre enfant ne reçoive pas son cadeau, commandé donc près de 3 semaines avant Noel!!! Pour finir, aujourd'hui, je reçois un mail, m'indiquant que ma commande ne pourra pas être honorée et que du coup elle est purement est simplement annulée. Quand je vous dis que c'est des branquignoles jusqu'au bout.... J'attends de voir si je vais être recontacté suite à ce message incendiaire, mais Noel étant passé, je ne crois pas à ce miracle.",2020-12-30T15:17:04.000Z,,
918,Commande sur e.leclerc à fuir,1,"Un premier avis négatif sur un robot cuisine en promo mois 40% qui n etait pas en rayon : pas arrivé,  en fait jamais arrivé et rien de proposé à la place. Second avis sur E.Leclerc, livre commandé,  deux semaines pour arriver sans aucune informarion sur le délais. De plus livre dispo dès le premier jour au Leclerc culture à 50 mètres, mais ""ce n'est pas la même origine"". Mauvais suivi, trop long, pas information. Plus jamais E.leclerc",2020-12-30T09:12:13.000Z,,
919,"De plus en plus déçue du magasin Leclerc à Bar le duc, avocat les, +cher, pourris, potimarron pourri, et fruits imangeable, acheté la veille, Super pour repas de Noël, ce n'est pas la 1ère fois,,",4,De plus en plus déçue,2020-12-28T21:48:31.000Z,,
920,A éviter !!!!!,1,"J’ai commander sur le site de Leclerc une machine Sodastream depuis plus d’un mois. Aucune communication du service client. Après avoir envoyé mail et appelé le service client je sais juste que ma commande est expédiée mais personne peut me dire où est mon colis. Par contre ma carte a bien été débitée !!! Service après vente déplorable, a fuir de toute urgence. Nul",2020-12-28T13:01:12.000Z,,
921,JARDINERIE LECLERC BAPEAUME LES ROUEN,2,"Cela s'est produit le 24 Décembre vers 16h30. Visite sans achat puisque votre rayon ""fleurs naturelles"" a beaucoup changé. 
A la sortie du magasin on m' interpelle ; une employée sort sa tête d'une cloison et me dit ; oh là, ouvrez votre sac ; (sac de courses Leclerc alimentation) Quelle aimabilité. Je lui ai même répondu que je pouvais ouvrir mon sac à main sans problème. Compte tenu de l'accueil, je ne retournerai donc plus à la jardinerie et ne ferai pas bien entendu de publicité.",2020-12-28T11:15:56.000Z,,
922,jamais plus une braserade chez leclerc…,2,"jamais plus une braserade chez leclerc drumettaz ,viande coupé très épaisse ,viande rouge qui rejettait de l'eau,aucun gout ,enfin pour conclure un boucher que j'ai surement déranger samedi a 17h
vraiment déçu",2020-12-27T20:09:57.000Z,,
923,Une caissière qui rit au nez d’une dame…,1,Une caissière qui rit au nez d’une dame de 63 ans car elle n’avait pas ses lunettes et qu’elle a mis sa carte à l’envers dans le lecteur. Je lui dis que ma mère n’a pas ses lunettes et là elle me rit au nez en disant que c’est la première fois qu’elle voit cela. Je lui demande de s’excuser et elle me rit au nez. J’avais envie de la faire sauter de sa caisse et lui peter sa frogne. Leclerc de st parres aux tertres dans l’Aube le jeudi 24 décembre 2020 a 9h30 caisse numéro 30.,2020-12-25T13:53:17.000Z,,
924,Refus garantie,1,"Suite à la demande de garantie d'un accessoire concernant l'achat d'un outillage sur le site internet maisons loisirs Leclerc, on m'indique qu'il faut patienter jusqu'à ce que le constructeur de l'outil réponde à Leclerc. après 3 mois de discussions stériles j'ai saisi le médiateur qui a validé ma requête et indique que Maisons loisirs Leclerc ne veut pas participer à cette médiation.",2020-12-23T15:49:47.000Z,,
925,Dommage qu'on ne puisse laisser 0…,1,"Dommage qu'on ne puisse laisser 0 étoile. Entreprise nullissime en terme de service client. Commande passée il y a 23 jours en parapharmacie, toujours ""en préparation""... Impossible de joindre le standard téléphonique et ce quelque soit l'heure. Pas de réponse à mon email après 3 jours... Jamais vu des incapables pareils.
Je n'étais pas client Leclerc, je ne le deviendrai clairement pas.",2020-12-23T14:12:25.000Z,,
926,Courses  mardi-naute…MACON 14h15,1,"Lors de nos courses le mardi 22/12/2020^à MACON ,nous avions prévu un achat (demie dinde farcie aux morilles et armagnac ""ROYAL BERNARD"" 11€50 KG =5€15 pièce avec la carte).
Dans le rayon au dessus de l'étiquette ""promo"" il n'y avait que des (pintades farcie au champignons même marque uniquement ce produit) sans prix marqué. A l'accueil L'hôtesse n'à rien voulu savoir ""sans vérifier vérifier"" .MERCI de la mauvaise ""fois"". évidemment pas de réduction.
Merci à la (DINDE) l'hôtesse.
JOJO.",2020-12-23T11:10:09.000Z,,
927,Drive,1,"Bonjour
Je ne comprends pas la politique du Drive à Auray
En effet
Les courses sont chargés par les personnes à Vannes et non à Auray????",2020-12-21T14:31:36.000Z,,
928,Propos stupides du président Leclerc,1,"Très déçu par les propos du président : recadrer le ministre concernant les rayons communautaires attise les polémiques communautaires, le silence s'imposait; et considérer que ""Amazon n'est pas un concurrent""... une plaisanterie? est-ce pour montrer ses muscles qu'il dit cela? MEL  ne nous avait pas habitué à des propos imbéciles.",2020-12-21T12:58:05.000Z,,
929,Moi qui était pro leclerc,1,"Moi qui était pro leclerc, je vais probablement changer. J'avais une carte cadeau de 30 euros achetée en novembre 2019. Et on vient de me dire qu'elle était périmée du fait que je devais l'utiliser durant 1 an. Sauf que souhaitant l'utiliser pour un cadeau de Noël et qu'avec le covid et les 4 ou 5 mois où on nous a empêché de vivre, ne croyez vous pas que leclerc aurait pu allonger le délai d'utilisation. Non. Pauvre France",2020-12-21T12:44:48.000Z,,
930,Commande très en retard. E. LECLERC se moque de nous,1,"Commandé, un vélo d'appartement dont la date de livraison est annoncée pour le 23 décembre (2 semaines annoncées). Appel le 21 pour connaître la date exacte : 5 semaines ! E. LECLERC se moque de nous.",2020-12-21T11:58:49.000Z,,
931,Vérifiez vos commandes !,3,"Bonjour,
Je souhaite vous faire part dun petit désagrément qui m'est arrivé ce jour.
J'ai commandé des plats cuisinés figurant au catalogue traiteur de fin d'année, afin de faire un repas de noël le 20/12/2020.
Dans cette commande, 4 cuisses de canard de 280g pce, et 3 dos de loup de 280g pce également. 
Au retrait nous avon demandé à l'employée de bien vouloir peser les portions (ayant déjà fait l'objet d'un désagrément identique l'an passé )
Pour les 4 cuisses de canard qui auraient dû representer 1120g, nous avions en fait 875g emballage compris.
Pour le poisson idem....560g au lieu des 840g payés à la commande. 
De plus sur les emballagees, aucune indication de poids ni de DLC. Juste une simple étiquette Leclerc indiquant le contenu inscrit au stylo rouge (photos à disposition).
Après un rapide calcul partant du prix au kilo, nous en avons conclus que nous nous faisions ""avoir"" de 8,58€ par rapport au prix payé à la commande. 
Bien évidemment,  aucun responsable de rayon n'était présent. Nous avons eu affaire avec une charmante jeune fille qui s'est montrée très compréhensive, professionnelle, et honnête qui nous a rajouté des produits afin d'arriver au poids payé. Merci à elle!!
Je trouve inconcevable qu'une entreprise comme la vôtre qui se dit proche du consommateur,  et dit faire tout pour protéger notre pouvoir d'achat, se livre a de telles pratiques.
Dommage, votre image en prend un serieux coup !
Cordialement....",2020-12-19T18:37:02.000Z,,
932,Annulation de commande par internet impossible sur le site,1,"Bonjour,
Je viens de passer une commande pour un vinyl avec retrait en magasin. Je demande à l’annuler immédiatement car pas de délais fourni. Impossible de l’annuler. Vous devez attendre que le produit arrive en magasin et le refuser pour être rembourser. Pas de possibilité d’ailleurs sur le site d’annuler sans téléphoner par ailleurs.",2020-12-19T15:54:59.000Z,,
933,Comme toujours pas t’étiquette de prix…,1,"Comme toujours pas t’étiquette de prix sur les packs de 6 lait 1/2 écrémé de leur marque repère.
Et à la caisse on vous facture royalement 6,78€.
C’est du vol organisé.
La viande semi avariée au rayon boucherie.
Et je vous passe le reste....
Je ne retournerai plus jamais chez eux et je vais leurs faire de la pub",2020-12-17T10:29:48.000Z,,
934,Une catastrophe,1,"Une catastrophe : j’ai commandé une TV avec un défaut de fabrication le 16 novembre, et le jour de la réception j’ai envoyé un mail, puis un autre 3 jours apres 
. En tout 4 appels et 1 mois après , j’attends toujours qu’un livreur vient récupérer  la TV afin que je puisse me faire rembourser 
Des incapables incompétents qui se moquent  des clients.
Donc la seule issue pour moi, et faire accélère les choses, faire appel à 60millions de consommateur.
Plus jamais je commande sur leur site... Un conseil, fuyez",2020-12-17T00:41:52.000Z,,
935,livraison leclerc NUL,1,J'ai commandé un portable le 12 décembre que je devais recevoir le 15 au magasin Leclerc! Nous sommes le 16 décembre et la commande n'est toujours pas préparée!!!! Honteux et nul! aucun professionnalisme.,2020-12-16T15:06:51.000Z,,
936,FUYEZ le site E Leclerc !!!,1,"Pour ne pas mettre 0 étoile ....Un seul conseil FUYEZ le site E Leclerc..aucun serieux!
Ne surtout pas tomber en panne avec vos produits achetés sur ce site ....il n y a pas de retour de remboursement même pendant la garantie....plus d un an que j attends mon remboursement....dans l obligation de passer par la justice pour récupérer mon dû... quel sérieux !!",2020-12-16T08:41:36.000Z,,
937,Niveau promo c'est pas au top,1,Niveau promo c'est pas au top ! Je voulais un jeu qui est sur le prospectus qui commence le 15 décembre on me dit que c'est que la semaine prochaine ! Vérifiez vos dates ! Ou peut être que la semaine prochaine il ne sera plus en promo ! 🤔,2020-12-16T08:25:18.000Z,,
938,SAV leclerc,1,"Service après vente laisse à désirer
Cela fait 6semaines que j ai laissé mon portable en réparation ( acheté il y a 8mois) il n est toujours pas prêt à ce jour
Étant professionnel je n' ai pas eu de portable de remplacement car ils n en détenaient pas .Et ce n est pas la première fois que j ai eu une mauvaise expérience avec ce service",2020-12-15T14:31:49.000Z,,
939,Colis commandé le 7décembre,1,"Colis commandé le 7décembre, le 15 du même mois toujours pas de nouvelles, après un nombre incalculable d'appels au service client sans succès, j'ai reussi à avoir une conseillère clientèle, la personne m'a suggéré d'annuler ma commande et de demander un remboursement.. Le colis étant un cadeau d'anniversaire pour mon fils, j'ai appelé le transporteur, qui m'a dit que le relais Leclerc refusait les colis à cause du trop grand nombre.. J'ai du me déplacé de porte de clichy à Sucy en brie pour récupérer le cadeau de mon fils.. LECLERC C'est la dernière fois !!",2020-12-15T11:21:56.000Z,,
940,"site non fiable, service conso très difficile à joindre",1,"Pour moi il s'agit du leclerc culture.
Commande passée le 24 novembre, depuis 3 semaines elle est dite en préparation. Bien sûr j'ai été débitée le 24 novembre. J'ai envoyé un mail au service consommateur qui me dit ""elle est en préparation"" !!!
Il y a un numéro de téléphone pour les joindre mais il ne répond JAMAIS !!! Je ne suis pas la seule dans ce cas.
Suite de mon avis, après 2 jours d essai du numéro du service consommateur, sans succès (37 essais) numéro qui est écrit partout terminé par 01....2777
et de nouveaux mails sans réponse, 
j'ai réussi a trouver un autre numéro bien caché dans le décor 0173127280 pour le service culturel. J ai eu quelqu'une très réactive qui a annulé ma commande a ma demande. Mail de confirmation instantané. Enfin !😅
Je maintiens ma note car j aurais dû savoir de suite que le produit n etait pas en stock et que l approvisionnement devait tarder. En tout cas le nouveau numéro de téléphone devrait être plus visible.",2020-12-17T22:04:59.000Z,,
941,J'ai acheté un sapin ce vendredi 11…,1,"J'ai acheté un sapin ce vendredi 11 décembre ( jour de la livraison) une horreur,c'est une HONTE de vendre un sapin dans cet état,il a probablement était coupé depuis des semaines .",2020-12-13T15:01:42.000Z,,
942,Extrêmement déçue .plus jamais.,1,"Extrêmement déçue .plus jamais.
Toujours pas reçu mon colis commandé depuis le 25 novembre !
Je ne passerai plus par eux .
Ml R.",2020-12-12T13:30:07.000Z,,
943,Le « fuet bio « ( saucisse sèche) mauvais.peut…,1,"Le « fuet bio « ( saucisse sèche) peut être bio !??  mais très grasse et très salée. Bref c’est pas bon mais c’est bio! Yuka donne une note de 10/100 et indique mauvais! Pourquoi Leclerc distribue ce produit de Séchoir Bodega ? À retirer rapidement des rayons alimentaires, on fait bien mieux dans nos régions 😉",2020-12-12T13:06:02.000Z,,
944,Leclerc maison et loisir c'est des…,1,"Leclerc maison et loisir c'est des voleur j'ai achèter un canapé chez eux juillet 2019 qui et encore garantie actuellement y'a eu un défaut au niveau de la couture qui c'est craquer depuis , et mon canapé je ne peux pu le mettre en relaxe depuis août 2020 j'attands mon remboursement et quand on les appel il nous font tourner en bourrique mais je ne vais pas lâcher l'affaire honte a vous , je vous déconseille de commander chez eux honteux a vous !!!",2020-12-11T19:06:04.000Z,,
945,ATTENTION NE VOUS FAITES PAS ARNAQUER,1,"ATTENTION NE VOUS FAITES PAS ARNAQUER, pour tous les jeux vidéo et les commande que vous faites en ligne, tout arrivera en retard, mon colis est arrivé en retard et pas à la date annoncée et en plus de ça les frais de retour sont à votre charge, je vous déconseille fortement les commandes en ligne chez Leclerc je vous invite à vous diriger chez AMAZON ou encore Carrefour / Auchan, mais vraiment les frais de retour sont pour ma poire alors que ce sont eux qui livrent le colis en retard ! service clients nul et ne lisent même pas vos mails bref passez votre chemin",2020-12-11T12:08:17.000Z,,
946,Achat matelas,1,"Bonjour, 
Je ne vous recommande pas l'achat d'un matelas, car Non garanti chez leclerc, le mien au bout de 3 mois défoncé au milieu, et rien, Normal quoi, j'ai plus qu'à en racheter un autre, mais se qui est sur pas chez eux 😡😡😡😡😡 Honte à vous !!!!!!!!",2020-12-11T11:27:25.000Z,,
947,Service client déplorable,1,Service client déplorable. Livraison tardive voire inexistante.,2020-12-11T08:33:07.000Z,,
948,Ce qui compte pour nous,1,"Nous voulons 
DU FRAIS, 
SI POSSIBLE FRANÇAIS

J'ai acheté des clémentines corses au prix de 5.95 le kilo en panier....
J'avais des invités...
40% était pourris

Sinon, la reste venait d Espagne.  Il serais intéressant à savoir COMBIEN certaines touchent pour promouvoir les produits espagnole.. non?",2020-12-10T07:27:59.000Z,,
949,Colis arrivé déteriorré sous enveloppe plastique,1,"Colis arrivé sous enveloppe plastique. Au déballage, le colis est complètement défoncé. Je suis allé sur le site pour poser une réclamation mais mon petit fils n'aura pas son cadeau si je le retourne. Il aura donc un cadeau dans une boite déchirée et probablement ouverte.

Jamais plus chez LECLERC",2020-12-07T15:52:51.000Z,,
950,Très déçu,2,"Bonjour, j'irai désormais faire mes courses ailleurs suite au retrait du partenariat avec la coopérative Emrys. Dommage pour vous je ne serai pas la seul je pense !!!!",2020-12-06T10:39:44.000Z,,
951,Pourquoi voulez vous nous obliger à…,1,Pourquoi voulez vous nous obliger à nous vacciner ? Le vaccin n'est pas obligatoire mais vous avec les subventions que vous pourriez soit perdre soit toucher j'imagine allez nous interdire l'accès à votre magasin si nous ne sommes pas vaccinés ?  Quelle honte !!! Sans nous vous n'êtes rien  ! Prenez l'avis de vos clients plutôt que l'avis du pouvoir de l'argent !!!!!,2020-12-05T13:30:13.000Z,,
952,Séquestré sur le parking du Leclerc Conflans Sainte Honorine,1,"Bonjour, hier soir mon épouse mes 2 enfants et moi-même avons été volontairement retenu enfermé sur le parking de l’Espace Culturel du Leclerc Conflans Sainte Honorine dans les Yvelines ! En effet, ayant quitté les caisses du Leclerc à 19h53( ticket de caisse pour preuve ) nous étions à notre véhicule environ à 19h57 . Le vigile fermant l’espace culturel de l’intérieur, je lui ai fait signe pour lui signifier de nous ouvrir le portail . Le temps de charger notre véhicule avec mon épouse et nos 2 enfants mineurs plus personne : enfermés sur le parking ! Je suis allé par 3 fois frapper à la porte à l’étage par un escalier extérieur , on y entendait du personnel mais personne ne m’a répondu ! J’ai klaxonné mais en vain ! Mon épouse ai allé au Leclerc à 50 mètres à côté mais personne ne pouvait joindre l’espace culturel : ni par téléphone , ni par talkie-walkie avec le vigile . Tout ce que l’on a su dire à mon épouse c’est : il ne faut pas rester sur le parking après 20h00 ! Et moi un personnel sortant de l’espace culturel : monsieur on n’a pas le droit de stationner après 20h00....Tout le personnel de Leclerc avec lequel nous avons pu échanger était focalisé sur le fait que notre véhicule se trouvait sur le parking de l’espace culturel Leclerc à 20h00 , à en oublier que nous étions une famille cliente Leclerc ! À 20h25 le vigile et un personnel de Leclerc sont sorti de l’espace culturel sans venir nous voir à notre véhicule collé au portail prêt à sortir , le personnel de Leclerc nous a ouvert le portail sans un regard ,sans une excuse . Au centre Leclerc même politique : pas une excuse à mon épouse . Tout cela nous laisse l’amer impression que des adultes de chez Leclerc aient voulus faire la leçon à de vulgaires sauvageons ayant laissé leur véhicule sur un parking à 20h00 ! Oh service marketing de chez Leclerc ! Au lieu de dépenser des millions d’euros afin d’essayer de satisfaire vos clients : investissez plus sur la formation , l’éthique , l’humain ! Nous ne sommes pas que des porte-monnaies mais aussi des êtres humain ! Ma famille ne se rendra plus jamais au Leclerc Conflans Sainte Honorine !",2020-12-05T08:51:21.000Z,,
953,Foutage de g...,1,"Je suis allée au centre leclerc de concarneau la semaine dernière pour acheter une lave vaisselle que j'avais vu sur prospectus à 199€ pour le Black friday. 
La dame de l'accueil me dit qu'ils seront disponibles le 4 car le Black friday est décalé à cette date.
Je mis rend donc cet après midi 
Et à ma grande surprise la responsable du rayon me répond quelle n'en a plus depuis hier après midi. 
Je lui dis que le Black friday commence aujourd'hui et elle me réponds non c'était la semaine dernière. 
Il faudrait vous accorder mesdames.
Jai été acheté chez la concurrence. 
Je suis très en colère 😡😡",2020-12-04T20:11:30.000Z,,
954,Plus jamais de commande en ligne au…,1,"Plus jamais de commande en ligne au Leclerc 
On me recommande par téléphone            
 d acheter une deuxième fois le produit cette fois dans le magasin pour l avoir tout de suite et ensuite attendre l arrivée du produit dans ce même magasin pour refuser ce colis et pouvoir être remboursée enfin du premier
La simplicité même ; trois allers-retours au magasin le premier pour entendre ah non 
il n y a pas de click and collect au Leclerc  à Brive-la-Gaillarde rappelez le site  internet pour annuler
Pourtant il est écrit sur le site
Prête en quelques heures seulement, votre commande internet sera chargée, gratuitement en 5 minutes dans le coffre de votre véhicule.
En attendant je recevrai mon colis me dit- on peut être mardi et nous sommes vendredi 
Au magasin accueil déplorable par une personne seule et débordée qui me dit que je n aurai pas dû commander sur internet et qu' il n y a pas de Drive 
C est donc une blague
Alors pourquoi avoir pris la commande
Bref on ne peut pas mettre zéro au Leclerc de Brive donc je mets une étoile",2020-12-04T20:20:11.000Z,,
955,Très mauvais Service client SAV.,1,"Bonjour. J'ai fait mes courses sur Chezmoi.leclerc avec service retrait au point de Relais La Fourche. Les personnes qui travaillent sur place au point de Relais La Fourche sont accueillantes. En revanche, cet avis est pour évaluer leur Service client après-vente SAV. Un article était en rupture et n'est pas livré. Après une semaine d'attente je n'ai pas reçu le remboursement sur mon compte bancaire. J'ai essayé de contacter leur Service client au 0186330210 plusieurs fois (le numéro s'affiche sur leur site), mais sans AUCUNE réponse sachant que je devais attendre 5-8 minutes en ligne chaque fois. J'ai envoyé le mail pour demande de remboursement, idem pas de réponse. Le numéro du point de retrait Leclerc La fourche 0141719630 ne marche pas non plus. Je devais contacter au 0969324252, ils m'ont donné un autre numéro, le 0141719645. Faut plusieurs appels pour avoir un bon contact numéro. J'ai perdu le temps à cause de ce mauvais service client de Leclerc. Enfin, ils m'ont remboursé en bon d'achat Leclerc, sachant que j'ai réglé mes course par carte bancaire. Ils m'ont dit que je dois faire un virement par moi-même de mon compte de bon achat Leclerc à mon compte bancaire si je le souhaite. Le SAV ChezmoiLeclerc doit faire quelques choses pour s'améliorer leur qualité de service... sinon ils vont perdre beaucoup de clients.",2020-12-03T11:15:26.000Z,,
956,Comme toute la grande distribution E…,1,"Comme toute la grande distribution E LECLERC se fiche complètement des producteurs , son seul idéal est de tirer les prix au plus bas dans le but d'attirer les clients dans ses magasins , tels des ouailles dans leurs temples . Combien de producteurs locaux la grande distribution a t'elle ruiné ? combien d'épiceries locales ont du fermer la porte ? combien de pauvres crées par les baisses de prix ? tant et plus de clients que la grande distribution se fera un plaisir d'abreuver de produits pas cher , achetés à des usines démentielles ou étrangères à bas cout . Chers clients chaque euro économisé pour étancher vôtre soif insatiable de nouveautés éphémères , vous pousse vers l'abîme . Tout le système est à refaire il faut un NEW DEAL très vite pour sauver ce qu'il reste de cette société qui court à sa perte .",2020-12-02T18:00:46.000Z,,
957,le Leclerc d'Amboise est toujours aussi…,1,"le Leclerc d'Amboise est toujours aussi nul. Ils ont lancé l'opération VIVO pour obtenir des verres en collectionnant des vignettes. Il était trop taux pour obtenir les produits le 14 Novembre et maintenant le 30 Novembre trop tard, l'opération est finie disent-ils. Donc le temps passé à coller les petites vignettes soigneusement sur le petit carnet était réellement une perte de temps. Pas très sympathique pour Villeroy & boch. Conclusion : Éviter de perdre du temps dans ce magasin...",2020-11-30T23:49:56.000Z,,
958,J'ai utilisé le clic and collect..,1,"J'ai utilisé le clic and collect... A fuir
Le magasin ne savait même pas pour ma commande. En une journée le produit est écoulé... Super moi qui pensais être tranquille pendant ma journée de travail et ayant l'impossibilité d'y aller... J'avais besoin de cet achat pour suivre mes cours en ligne. Je suis dégoutée",2020-11-30T17:30:36.000Z,,
959,SAV nul je retourne sur Amazon,1,"Commande en ligne de livres pour enfants pour le fameux click and collect... un des livres est endommagé (couverture assez abîmée, pas super pour faire un cadeau..). Contact du SAV sans aucune réponse depuis plusieurs jours.. en magasin ils ne peuvent rien faire donc me voila avec un livre abîmé payé le prix fort pour Noël merci Leclerc.... Dorénavant je reste sur Amazon qui a un service client irréprochable et des prix équivalents.. Faire marcher l'économie française oui ! Etre pris pour un pigeon par des incompétents non merci bonne année !",2020-11-30T10:13:48.000Z,,
960,Retour au produits non essentiels au…,1,"Retour au produits non essentiels au rayon jeu vidéo pour un jeu de PS5 en, promotion en ligne et au prix fort en magasin .Aprés une demande à un certain vendeur qui me dit en se foutant de moi que c'est comme ça et pas autrement.....
Je suis désolée mais y a l'art et la maniére de répondre aux gens c'est inadmissible.......
Leclerc saint berthevin dans le 53",2020-11-28T16:37:13.000Z,,
961,Concerne le grattage heyo,1,"Concerne le grattage heyo. 
Ayant acheté plusieurs produits identiques, je constate qu'en consultant l'application E. Leclerc je n'ai aucune carte à gratter. 
C'est la deuxième fois que cela ce produit. 
Très déçue,  je n'achèterai plus deux produits identiques. 
Simple incitation à la consommation, je me suis fait avoir du à ma naïveté.",2020-11-27T18:18:43.000Z,,
962,leclerc vitrolles voleur,1,"leclerc vitrolles fait un faux affichage carburant ...il vole le client ouvertement 
prix totem gazole 1.15 €
prix facturé 1.19 €
..tu vas voir l accueil et il te repond ..pas mon probleme .. Belle mentalité. photo a l appui",2020-11-27T09:38:19.000Z,,
963,Leclerc Sts-Geosmes Haute-Marne,1,"ce 27/11, Leclerc Sts-Geosmes Haute-Marne affiche en pleine page (à quel prix!) une PUB sur le JHM (journal local) d'un jambon sec à 28.90 € en vente en magasin et en drive. Sauf qu'en Drive, le jambon n'est pas livré 
manque de respect du client",2020-11-27T07:32:39.000Z,,
964,Fidèle cliente de magasins Leclerc,1,"Fidèle cliente de magasins Leclerc, cela fait 2 fois que je fais mes courses au Leclerc place d’Armes au LAMENTIN 972. Produits payés plus chers qu’affichés en gondole (j’avais vérifié le code barre dans le rayon), notamment sur la créoline, produits posés  en gondoles qui n’ont rien à voir  avec ce qui est affiché et donc codes barres complètements différents . J’ai également acheté du chocolat et là on voit qu’il avait pris le chaud et à l’ouverture cela ne donne pas envie de le manger! Je fais 25 km pour m’y rendre par fidélité mais là c’est vraiment du n’importe quoi ce nouveau magasin.",2020-11-25T17:51:29.000Z,,
965,Publicité mensongère ? BIO VILLAGE,2,"Bonjour, j'aimerais comprendre comment sur certains de vos produits est inscrit la mention nutriscore A alors qu'en vérité elle est un nutriscore C : 
SUR LE PRODUIT : tartines seigles Bio Village
Alors que d'après Open Food fact, l'organisme qui attribue des nutriscores, il serait nutriscore C",2020-11-25T16:02:20.000Z,,
